,Unnamed: 0,product_title,product_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,delivery,has_variations,Sales_per_last_month
180,180,"SAMSUNG Galaxy S21 FE 5G Cell Phone, Factory Unlocked Android Smartphone, 128GB, 120Hz Display Screen, Pro Grade Camera, All Day Intelligent Battery, US Version, 2022, White",319.95,USD,4.5,14909,1,319.95,False,False,True,True,"FREE delivery Thu, Sep 26 Only 4 left in stock - order soon.",True,200.0
181,181,"OnePlus 9 Winter Mist, 5G Unlocked Android Smartphone U.S Version, 8GB RAM+128GB Storage, 120Hz Fluid Display, Hasselblad Triple Camera, 65W Ultra Fast Charge, 15W Wireless Charge, with Alexa Built-in",188.89,USD,4.2,1039,1,188.89,False,False,True,False,"FREE delivery Thu, Sep 26",True,200.0
182,182,SIMBROS Radiant Core Phone At&amp;t Unlocked u304aa 4g 5.5in 16GB Smart Phone simkey -Unlocked to Work on All GSM Carriers Like At&amp;t T-Mobile &amp; Cricket -Not for Verizon,39.99,USD,3.0,58,1,39.99,False,False,True,True,"FREE delivery Tue, Sep 24",False,50.0
183,183,"BLU C5 Max | Unlocked | 5.7” HD+ Display | 5MP Camera | (Red, 32GB)",54.99,USD,3.3,679,2,44.99,False,False,True,False,"FREE delivery Tue, Sep 24",True,100.0
184,184,Motorola Moto G Power 5G | 2023 | Unlocked | Made for US 4/128GB | 50 MPCamera | Mineral Black,144.99,USD,3.5,11,6,143.54,False,False,True,False,"FREE delivery Tue, Sep 24",False,500.0
185,185,Samsung Galaxy A54 5G 256GB + 8GB Unlocked Worldwide Dual Sim 6.4&quot; 120Hz 50MP Triple Cam - (Black),379.5,USD,4.0,380,3,319.99,False,False,True,True,"FREE delivery Fri, Sep 27",False,400.0
186,186,"Panasonic Amplified Cordless Phone with Slow Talk, 40dB Volume Boost, 100dB Loud Visual Ringer, Hearing Aid Compatibility, Large Screen and Backlit Keypad - KX-TGM420W - 1 Handset (White)",103.76,USD,4.3,1452,25,49.99,False,False,True,False,"FREE delivery Tue, Sep 24",False,300.0
187,187,PANASONIC Corded/Cordless Phone System with Answering Machine and One Touch Call Blocking – 3 Handsets - KX-TGF353N (Champagne Gold),139.95,USD,4.4,2038,4,92.89,False,False,True,False,"FREE delivery Tue, Sep 24",False,100.0
188,188,"AT&amp;T CL84107 DECT 6.0 Expandable Corded/Cordless Phone with Smart Call Blocker, Black/Silver with 1 Handset",76.95,USD,4.4,5154,5,32.95,False,False,True,False,"FREE delivery Tue, Sep 24",False,200.0
189,189,Samsung Galaxy A20 32GB 6.4&quot; Display A205U Black Unlocked Smartphone (Renewed),91.75,USD,3.9,641,17,56.1,False,False,False,True,"FREE delivery Sat, Sep 21 Only 3 left in stock - order soon.",False,100.0
190,190,"Motorola Moto G Stylus | 2022 | 2-Day Battery | Unlocked | Made for US 4/128GB | 50MP Camera | Twilight Blue | 4G RAM, 4G/3G cellular technology",169.99,USD,4.3,1240,7,74.63,False,False,True,False,"FREE delivery Wed, Sep 25",False,200.0
191,191,"Samsung Galaxy Note 9, 128GB, Lavender Purple - Unlocked (Renewed)",183.0,USD,4.3,3281,6,156.0,False,False,False,True,FREE delivery Sep 24 - 26 Or fastest delivery Sep 23 - 25,False,100.0
192,192,Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte,349.99,USD,4.3,55,3,335.72,False,False,True,False,"FREE delivery Tue, Sep 24",False,400.0
193,193,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone | US Version | 128GB of Storage | Mobile Gaming Smartphone | Mystic Bronze, SM-N986UZNAXAA (Renewed)",344.0,USD,4.1,1866,22,294.0,False,False,True,True,"FREE delivery Thu, Sep 26 Only 5 left in stock - order soon.",True,400.0
